,percent_time_idle,hourly_wage
1868,6.05263157895,59.2105263158
1869,68.9655172414,20.4026906744
1870,17.9487179487,35.4433952255
1873,48.2905613641,33.456404175
1874,6.5758564568,56.1885743464
1875,40.2966080955,34.1713184326
1876,17.4776564052,51.4474225251
1878,48.0224719101,31.0476700363
1879,59.1549295775,27.3841282176
1884,50.7070260716,39.2410806528
1887,6.04980705565,55.5443968335
1888,63.0108991826,21.7973973504
1890,33.6405989543,39.2390575004
1891,13.7501786253,50.7425249761
1892,8.81394244157,53.4093225619
1899,14.3691725443,54.0658125367
1907,17.7314211213,43.0294330801
1910,8.003571521,55.5008130966
1912,28.9733321726,40.5400707847
1913,62.4135280553,21.1836855662
1914,5.34051620166,57.2368089655
1926,39.2815076561,32.7929109297
1932,5.18921918901,58.8414180644
1934,7.30533270411,55.2108574311
1936,11.7563903502,52.0730394229
1937,10.2632780399,49.6623701846
1938,7.26199306377,56.1321049877
1939,17.9813446919,48.6232888301
1940,32.1167883212,42.1919154291
1942,21.4243479403,50.1359102329
1943,25.3754531331,50.7286413898
1944,5.9980481355,57.9224530095
1948,61.5684456101,23.657655776
1950,33.0628511067,36.2459274516
1951,19.6229009133,49.8465664546
1954,13.1424375918,56.5126355765
1955,62.9891200611,20.2225483937
1957,14.9774700152,58.9928685515
1961,15.6075838706,51.7404363194
1962,30.7964735137,45.6482140212
1964,43.125,33.3184137931
1969,12.02886136,55.2568474724
1970,12.8851721851,53.8677258268
1971,12.8593661573,57.115040103
1972,39.6833358777,42.7726415073
1974,75.4325259516,17.8309032335
1975,24.9415363798,46.3230701427
1979,7.60408734971,56.5111566442
1980,13.5316851727,49.8609393543
1984,6.16966580977,63.6224767308
1985,17.5001530269,53.9985847653
1986,13.4329753325,53.1116171535
1988,21.8181818182,59.9129529781
1990,50.6606051996,29.9342435834
1992,22.6751990011,48.5375370688
1997,50.4225858659,41.5934618557
